[2023-06-16T22:27:58.240+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: demo_dag.executor_task manual__2019-06-01T16:00:00+00:00 [queued]>
[2023-06-16T22:27:58.448+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: demo_dag.executor_task manual__2019-06-01T16:00:00+00:00 [queued]>
[2023-06-16T22:27:58.448+0000] {taskinstance.py:1308} INFO - Starting attempt 24 of 27
[2023-06-16T22:27:58.478+0000] {taskinstance.py:1327} INFO - Executing <Task(BashOperator): executor_task> on 2019-06-01 16:00:00+00:00
[2023-06-16T22:27:58.485+0000] {standard_task_runner.py:57} INFO - Started process 377 to run task
[2023-06-16T22:27:58.489+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'demo_dag', 'executor_task', 'manual__2019-06-01T16:00:00+00:00', '--job-id', '110', '--raw', '--subdir', 'DAGS_FOLDER/demo_dag.py', '--cfg-path', '/tmp/tmptjyljji2']
[2023-06-16T22:27:58.491+0000] {standard_task_runner.py:85} INFO - Job 110: Subtask executor_task
[2023-06-16T22:27:58.574+0000] {task_command.py:410} INFO - Running <TaskInstance: demo_dag.executor_task manual__2019-06-01T16:00:00+00:00 [running]> on host 31a6f4abb1ec
[2023-06-16T22:27:59.599+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.7/site-packages/***/utils/context.py:205: AirflowContextDeprecationWarning: Accessing 'execution_date' from the template is deprecated and will be removed in a future version. Please use 'data_interval_start' or 'logical_date' instead.
  warnings.warn(_create_deprecation_warning(key, self._deprecation_replacements[key]))

[2023-06-16T22:27:59.792+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_EMAIL='personaltraingcp@gmail.com' AIRFLOW_CTX_DAG_OWNER='Leyner_Bejarano' AIRFLOW_CTX_DAG_ID='demo_dag' AIRFLOW_CTX_TASK_ID='executor_task' AIRFLOW_CTX_EXECUTION_DATE='2019-06-01T16:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='24' AIRFLOW_CTX_DAG_RUN_ID='manual__2019-06-01T16:00:00+00:00'
[2023-06-16T22:28:00.143+0000] {subprocess.py:63} INFO - Tmp dir root location: 
 /tmp
[2023-06-16T22:28:00.281+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', ' \n        cd /opt/***/dags/scripts &&\n        pip install -r requirements.txt &&\n        python lambdaExecutor.py -dt 2019-06-01 -dh 16 -q https://sqs.us-east-2.amazonaws.com/147929168898/lokaInterviewSQS -ak AKIASE4KD7QBGVHE4G7U -sk *** &&\n        pip freeze\n        ']
[2023-06-16T22:28:00.436+0000] {subprocess.py:86} INFO - Output:
[2023-06-16T22:28:22.915+0000] {subprocess.py:93} INFO - Defaulting to user installation because normal site-packages is not writeable
[2023-06-16T22:28:26.916+0000] {subprocess.py:93} INFO - WARNING: Ignoring invalid distribution - (/home/***/.local/lib/python3.7/site-packages)
[2023-06-16T22:28:26.917+0000] {subprocess.py:93} INFO - Requirement already satisfied: boto3==1.26.151 in /home/***/.local/lib/python3.7/site-packages (from -r requirements.txt (line 1)) (1.26.151)
[2023-06-16T22:28:26.947+0000] {subprocess.py:93} INFO - Requirement already satisfied: botocore<1.30.0,>=1.29.151 in /home/***/.local/lib/python3.7/site-packages (from boto3==1.26.151->-r requirements.txt (line 1)) (1.29.155)
[2023-06-16T22:28:26.949+0000] {subprocess.py:93} INFO - Requirement already satisfied: jmespath<2.0.0,>=0.7.1 in /home/***/.local/lib/python3.7/site-packages (from boto3==1.26.151->-r requirements.txt (line 1)) (0.10.0)
[2023-06-16T22:28:26.950+0000] {subprocess.py:93} INFO - Requirement already satisfied: s3transfer<0.7.0,>=0.6.0 in /home/***/.local/lib/python3.7/site-packages (from boto3==1.26.151->-r requirements.txt (line 1)) (0.6.1)
[2023-06-16T22:28:27.065+0000] {subprocess.py:93} INFO - Requirement already satisfied: python-dateutil<3.0.0,>=2.1 in /home/***/.local/lib/python3.7/site-packages (from botocore<1.30.0,>=1.29.151->boto3==1.26.151->-r requirements.txt (line 1)) (2.8.2)
[2023-06-16T22:28:27.067+0000] {subprocess.py:93} INFO - Requirement already satisfied: urllib3<1.27,>=1.25.4 in /home/***/.local/lib/python3.7/site-packages (from botocore<1.30.0,>=1.29.151->boto3==1.26.151->-r requirements.txt (line 1)) (1.26.15)
[2023-06-16T22:28:27.447+0000] {subprocess.py:93} INFO - Requirement already satisfied: six>=1.5 in /home/***/.local/lib/python3.7/site-packages (from python-dateutil<3.0.0,>=2.1->botocore<1.30.0,>=1.29.151->boto3==1.26.151->-r requirements.txt (line 1)) (1.16.0)
[2023-06-16T22:28:45.167+0000] {subprocess.py:93} INFO - WARNING: Ignoring invalid distribution - (/home/***/.local/lib/python3.7/site-packages)
[2023-06-16T22:29:22.545+0000] {subprocess.py:93} INFO - WARNING: Ignoring invalid distribution - (/home/***/.local/lib/python3.7/site-packages)
[2023-06-16T22:29:22.548+0000] {subprocess.py:93} INFO - adal==1.2.7
[2023-06-16T22:29:22.549+0000] {subprocess.py:93} INFO - aiobotocore==2.5.0
[2023-06-16T22:29:22.549+0000] {subprocess.py:93} INFO - aiofiles==23.1.0
[2023-06-16T22:29:22.549+0000] {subprocess.py:93} INFO - aiohttp==3.8.4
[2023-06-16T22:29:22.549+0000] {subprocess.py:93} INFO - aioitertools==0.11.0
